ConfigSpace (len=10454400, space_map=
   0 tile_f: Split(policy=all, product=512, num_outputs=4) len=220
   1 tile_y: Split(policy=all, product=7, num_outputs=4) len=4
   2 tile_x: Split(policy=all, product=7, num_outputs=4) len=4
   3 tile_rc: Split(policy=all, product=512, num_outputs=3) len=55
   4 tile_ry: Split(policy=all, product=3, num_outputs=3) len=3
   5 tile_rx: Split(policy=all, product=3, num_outputs=3) len=3
   6 auto_unroll_max_step: OtherOption([0, 512, 1500]) len=3
   7 unroll_explicit: OtherOption([0, 1]) len=2
)
Get devices for measurement successfully!
increasing number to 155
No: 1	GFLOPS: 0.0000/0.0000	cost: 0.0000	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0277860164642334, timestamp=1543875005.3142147)	[('tile_f', [1, 16, 2, 16]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [1, 7, 1, 1]), ('tile_rc', [64, 8, 1]), ('tile_ry', [1, 3, 1]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,None,1366814
No: 2	GFLOPS: 25.5321/25.5321	cost: 0.0091	result: MeasureResult(costs=(0.009055706412903226,), error_no=0, all_cost=10.271897554397583, timestamp=1543875042.4673457)	[('tile_f', [8, 32, 1, 2]), ('tile_y', [1, 1, 7, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [32, 1, 16]), ('tile_ry', [1, 3, 1]), ('tile_rx', [3, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,7285140
No: 3	GFLOPS: 9.5887/25.5321	cost: 0.0091	result: MeasureResult(costs=(0.024112854954838708,), error_no=0, all_cost=13.884268045425415, timestamp=1543875054.9049242)	[('tile_f', [64, 8, 1, 1]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [1, 7, 1, 1]), ('tile_rc', [64, 2, 4]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,None,2781683
No: 4	GFLOPS: 0.0000/25.5321	cost: 0.0091	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07183194160461426, timestamp=1543875009.7549105)	[('tile_f', [1, 64, 1, 8]), ('tile_y', [1, 1, 7, 1]), ('tile_x', [1, 1, 1, 7]), ('tile_rc', [32, 1, 16]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,None,3026902
No: 5	GFLOPS: 0.0000/25.5321	cost: 0.0091	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.1311938762664795, timestamp=1543875009.755016)	[('tile_f', [1, 128, 4, 1]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [1, 1, 1, 7]), ('tile_rc', [4, 1, 128]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,8112746
No: 6	GFLOPS: 343.8600/343.8600	cost: 0.0007	result: MeasureResult(costs=(0.0006723987032258065,), error_no=0, all_cost=2.0345261096954346, timestamp=1543875056.1283798)	[('tile_f', [8, 2, 4, 8]), ('tile_y', [1, 1, 7, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [256, 1, 2]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,None,2941550
No: 7	GFLOPS: 2.8808/343.8600	cost: 0.0007	result: MeasureResult(costs=(0.08025854525,), error_no=0, all_cost=4.115446090698242, timestamp=1543875017.706276)	[('tile_f', [4, 2, 4, 16]), ('tile_y', [1, 7, 1, 1]), ('tile_x', [1, 1, 1, 7]), ('tile_rc', [64, 4, 2]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,None,2368476
No: 8	GFLOPS: 8.2982/343.8600	cost: 0.0007	result: MeasureResult(costs=(0.027862896,), error_no=0, all_cost=5.82452917098999, timestamp=1543875019.8182323)	[('tile_f', [4, 64, 2, 1]), ('tile_y', [1, 7, 1, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [256, 2, 1]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,8136716
No: 9	GFLOPS: 0.0000/343.8600	cost: 0.0007	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.05990409851074219, timestamp=1543875009.7553062)	[('tile_f', [1, 16, 1, 32]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [2, 8, 32]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,None,1121309
No: 10	GFLOPS: 0.0000/343.8600	cost: 0.0007	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0596468448638916, timestamp=1543875009.7553682)	[('tile_f', [1, 512, 1, 1]), ('tile_y', [1, 7, 1, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [2, 8, 32]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,None,1121349
No: 11	GFLOPS: 6.1596/343.8600	cost: 0.0007	result: MeasureResult(costs=(0.0375363995,), error_no=0, all_cost=4.905710697174072, timestamp=1543875022.31993)	[('tile_f', [2, 64, 4, 1]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [1, 7, 1, 1]), ('tile_rc', [256, 2, 1]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],,None,4070025
