Extract tasks...
Tuning...
INFO:autotvm:Get devices for measurement successfully!
DEBUG:autotvm:No: 1	GFLOPS: 0.0000/0.0000	cost: 0.0000	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06154012680053711, timestamp=1543904793.099984)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [2, 4, 1, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,65389
DEBUG:autotvm:No: 2	GFLOPS: 1273.0801/1273.0801	cost: 0.0002	result: MeasureResult(costs=(0.00018161544999999998,), error_no=0, all_cost=3.69926381111145, timestamp=1543904806.0584397)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 2, 64, 2]), ('tile_x', [4, 4, 1, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,246935
DEBUG:autotvm:No: 3	GFLOPS: 765.3140/1273.0801	cost: 0.0002	result: MeasureResult(costs=(0.0003021126,), error_no=0, all_cost=3.616797685623169, timestamp=1543904809.2859707)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 2, 2, 4]), ('tile_x', [4, 1, 4, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,171489
DEBUG:autotvm:No: 4	GFLOPS: 0.0000/1273.0801	cost: 0.0002	result: MeasureResult(costs=(RuntimeError('[01:26:54] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=6.256377696990967, timestamp=1543904814.728033)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 128, 1, 4]), ('tile_x', [1, 16, 1, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,409087
DEBUG:autotvm:No: 5	GFLOPS: 0.0000/1273.0801	cost: 0.0002	result: MeasureResult(costs=(RuntimeError('[01:27:00] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=6.431802749633789, timestamp=1543904820.0143654)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 64, 1, 8]), ('tile_x', [1, 4, 1, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,106182
DEBUG:autotvm:No: 6	GFLOPS: 365.5355/1273.0801	cost: 0.0002	result: MeasureResult(costs=(0.0006325269,), error_no=0, all_cost=3.8555169105529785, timestamp=1543904823.340823)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 8, 4, 2]), ('tile_x', [1, 1, 2, 8]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,284535
DEBUG:autotvm:No: 7	GFLOPS: 20.3129/1273.0801	cost: 0.0002	result: MeasureResult(costs=(0.0113824535,), error_no=0, all_cost=4.456047773361206, timestamp=1543904827.334326)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 2, 64]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,21104
DEBUG:autotvm:No: 8	GFLOPS: 1812.9320/1812.9320	cost: 0.0001	result: MeasureResult(costs=(0.0001275343,), error_no=0, all_cost=3.9550230503082275, timestamp=1543904830.7060702)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 4, 4]), ('tile_x', [1, 1, 16, 1]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,134096
DEBUG:autotvm:No: 9	GFLOPS: 0.0000/1812.9320	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07423138618469238, timestamp=1543904794.1036327)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 2, 1, 256]), ('tile_x', [2, 1, 8, 1]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,272357
DEBUG:autotvm:No: 10	GFLOPS: 0.0000/1812.9320	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09380483627319336, timestamp=1543904794.1037066)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 2, 64, 2]), ('tile_x', [2, 2, 1, 4]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,152115
DEBUG:autotvm:No: 11	GFLOPS: 0.0000/1812.9320	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07084012031555176, timestamp=1543904794.103776)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 32, 1, 8]), ('tile_x', [1, 4, 2, 2]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,366661
DEBUG:autotvm:No: 12	GFLOPS: 1541.2685/1812.9320	cost: 0.0001	result: MeasureResult(costs=(0.00015001345,), error_no=0, all_cost=3.57527756690979, timestamp=1543904833.9601846)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,12809
DEBUG:autotvm:No: 13	GFLOPS: 1963.4329/1963.4329	cost: 0.0001	result: MeasureResult(costs=(0.00011775855,), error_no=0, all_cost=3.627829074859619, timestamp=1543904837.1120627)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 16, 8]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,267018
DEBUG:autotvm:No: 14	GFLOPS: 2060.9521/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.00011218650000000001,), error_no=0, all_cost=3.649052381515503, timestamp=1543904840.3483286)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 1, 4, 4]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,264335
DEBUG:autotvm:No: 15	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:27:25] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.780280113220215, timestamp=1543904845.5809534)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 1, 2, 256]), ('tile_x', [1, 2, 1, 8]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,338358
DEBUG:autotvm:No: 16	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07394790649414062, timestamp=1543904794.104144)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 128, 2, 2]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,375831
DEBUG:autotvm:No: 17	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(TimeoutError(),), error_no=6, all_cost=10, timestamp=1543904802.868245)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 128, 1, 2]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,414542
DEBUG:autotvm:No: 18	GFLOPS: 1336.6170/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.00017298225,), error_no=0, all_cost=4.598849058151245, timestamp=1543904849.2900524)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 8, 2]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,445581
DEBUG:autotvm:No: 19	GFLOPS: 1029.2513/2060.9521	cost: 0.0001	result: MeasureResult(costs=(0.00022464,), error_no=0, all_cost=3.6797327995300293, timestamp=1543904852.4752288)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 8, 2, 1]), ('tile_x', [2, 1, 8, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,318353
DEBUG:autotvm:No: 20	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06329202651977539, timestamp=1543904802.868887)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 2, 8]), ('tile_x', [1, 2, 1, 8]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,299785
DEBUG:autotvm:No: 21	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.08703279495239258, timestamp=1543904802.8690486)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 4, 4, 32]), ('tile_x', [4, 1, 4, 1]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,302476
DEBUG:autotvm:No: 22	GFLOPS: 0.0000/2060.9521	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09149909019470215, timestamp=1543904802.869203)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 2, 128, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,304750
