ConfigSpace (len=10454400, space_map=
   0 tile_f: Split(policy=all, product=512, num_outputs=4) len=220
   1 tile_y: Split(policy=all, product=7, num_outputs=4) len=4
   2 tile_x: Split(policy=all, product=7, num_outputs=4) len=4
   3 tile_rc: Split(policy=all, product=512, num_outputs=3) len=55
   4 tile_ry: Split(policy=all, product=3, num_outputs=3) len=3
   5 tile_rx: Split(policy=all, product=3, num_outputs=3) len=3
   6 auto_unroll_max_step: OtherOption([0, 512, 1500]) len=3
   7 unroll_explicit: OtherOption([0, 1]) len=2
)
LOAD HISTORY FROM FILE
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [4, 8, 2, 8]), ('tile_y', [1, 7, 1, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [32, 4, 4]), ('tile_ry', [1, 3, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,7820046) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.07363414764404297, timestamp=1543994393.7804172)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [2, 1, 32, 8]), ('tile_y', [1, 1, 7, 1]), ('tile_x', [1, 7, 1, 1]), ('tile_rc', [4, 2, 64]), ('tile_ry', [1, 3, 1]), ('tile_rx', [3, 1, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,None,9069001) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.05603766441345215, timestamp=1543994393.7805722)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [16, 4, 4, 2]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [7, 1, 1, 1]), ('tile_rc', [32, 16, 1]), ('tile_ry', [1, 3, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,None,9500554) MeasureResult(costs=(0.011091361362433862,), error_no=0, all_cost=17.197824239730835, timestamp=1543994452.983677)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [4, 1, 2, 64]), ('tile_y', [1, 7, 1, 1]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [8, 1, 64]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,8098184) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.11942100524902344, timestamp=1543994397.3816028)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [128, 1, 4, 1]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [64, 8, 1]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,None,7563399) MeasureResult(costs=(0.0004262200052910053,), error_no=0, all_cost=2.103508710861206, timestamp=1543994454.2887003)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [128, 1, 2, 2]), ('tile_y', [7, 1, 1, 1]), ('tile_x', [7, 1, 1, 1]), ('tile_rc', [2, 256, 1]), ('tile_ry', [3, 1, 1]), ('tile_rx', [3, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],,None,5255424) MeasureResult(costs=(0.007721941592592593,), error_no=0, all_cost=9.976194620132446, timestamp=1543994463.7370384)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [32, 1, 8, 2]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [7, 1, 1, 1]), ('tile_rc', [64, 4, 2]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,None,9722979) MeasureResult(costs=(0.0002854412169312169,), error_no=0, all_cost=1.9385974407196045, timestamp=1543994464.8572075)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [64, 2, 2, 2]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [1, 1, 7, 1]), ('tile_rc', [2, 2, 128]), ('tile_ry', [1, 1, 3]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,None,1727285) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.04342913627624512, timestamp=1543994397.3818755)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [32, 4, 2, 2]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [1, 1, 1, 7]), ('tile_rc', [2, 2, 128]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 3, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],,None,4244966) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.040039777755737305, timestamp=1543994397.3819401)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [4, 32, 1, 4]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [1, 7, 1, 1]), ('tile_rc', [4, 4, 32]), ('tile_ry', [1, 3, 1]), ('tile_rx', [3, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,None,2085485) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.03996706008911133, timestamp=1543994397.3820026)
MeasureInput(target=cuda, task=Task(func_name=conv2d_no_batching, args=(1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1)), kwargs={}, workload=('conv2d_no_batching', 1, 7, 7, 512, 512, 3, 3, (1, 1), (1, 1))), config=[('tile_f', [1, 2, 64, 4]), ('tile_y', [1, 1, 1, 7]), ('tile_x', [1, 1, 1, 7]), ('tile_rc', [32, 4, 4]), ('tile_ry', [3, 1, 1]), ('tile_rx', [1, 1, 3]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],,None,6466154) MeasureResult(costs=(1000000000.0,), error_no=1, all_cost=0.039437294006347656, timestamp=1543994397.3820775)
